what,kind,bundleId,bundleVersion,description,time
started,bundle,org.springframework.ide.eclipse.core,2.2.0.v200809261800,org.springframework.ide.eclipse.core,1524635653990
started,bundle,org.springframework.ide.eclipse.javaconfig.ui,2.2.0.v200809261800,org.springframework.ide.eclipse.javaconfig.ui,1524635653990
started,bundle,org.springframework.ide.eclipse.ui,2.2.0.v200809261800,org.springframework.ide.eclipse.ui,1524635654005
started,bundle,org.eclipse.jst.jsf.common,1.1.3.v20080915,org.eclipse.jst.jsf.common,1524635654058
started,bundle,org.eclipse.jst.jsf.core,1.1.102.v20080909,org.eclipse.jst.jsf.core,1524635654093
started,bundle,org.eclipse.mylyn.compatibility,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.compatibility,1524635654094
started,bundle,org.eclipse.mylyn.commons.net,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.commons.net,1524635654146
started,bundle,org.eclipse.mylyn.commons.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.commons.ui,1524635654307
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.bugzilla.core,1524635654409
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.bugzilla.ui,1524635654436
started,bundle,org.eclipse.mylyn.jira.core,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.jira.core,1524635654665
started,bundle,org.eclipse.mylyn.jira.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.jira.ui,1524635654741
started,bundle,org.eclipse.mylyn.trac.core,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.trac.core,1524635654760
started,bundle,org.eclipse.mylyn.trac.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.trac.ui,1524635654802
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.tasks.ui,1524635655009
started,bundle,org.eclipse.mylyn.team.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.team.ui,1524635655068
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1524635655084
started,bundle,org.eclipse.team.svn.mylyn,0.7.4.I20081001-1900,org.eclipse.team.svn.mylyn,1524635655085
started,bundle,org.maven.ide.eclipse.mylyn3,0.9.7.200810211342,org.maven.ide.eclipse.mylyn3,1524635655091
started,bundle,org.eclipse.update.core,3.2.201.R34x_v20080714,org.eclipse.update.core,1524635655100
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1524635655119
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.monitor.ui,1524635655159
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1524635655624
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1524635655624
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1524635655793
